#####################################################################
# Alchemist log file - simulation started at: 2025-01-27T13:31+0000 #
#####################################################################
#
# seed = 1.0
#
# The columns have the following meaning: 
# time TrainingLoss[min] TrainingLoss[max] TrainingLoss[mean] TrainingLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.2 0.544 1.35 1.28 0.0125 3.9763531386852264 6.423000514507294 5.594844501465559 0.18858448806149775 0.776 0.896 0.82575 7.522765957446797E-4
2.2 0.291 0.544 0.477 0.00157 2.9870315343141556 5.064099043607712 3.940170188744863 0.1834065770956509 0.812 0.912 0.8613333333333333 7.021843971631214E-4
3.2 0.214 0.389 0.311 0.000883 2.571689262986183 4.733516976237297 3.504587267525494 0.20357575304848638 0.828 0.908 0.8685833333333334 3.492695035461001E-4
4.2 0.157 0.297 0.224 0.000618 2.3784347102046013 4.751095712184906 3.3345633825908103 0.20474076298713267 0.836 0.916 0.8745 3.4629787234042615E-4
5.2 0.128 0.233 0.168 0.000483 2.3109222277998924 5.17504745721817 3.3480338626541197 0.3484764073179418 0.828 0.924 0.8750833333333333 5.278226950354621E-4
6.2 0.150 0.294 0.218 0.000883 2.2565741017460823 4.699025377631187 3.159523204745104 0.2656281320933375 0.84 0.928 0.8831666666666667 3.798865248226957E-4
7.2 0.119 0.208 0.158 0.000527 2.253215618431568 4.759570091962814 3.202256980817765 0.28018706575698576 0.844 0.924 0.8819166666666667 3.417801418439723E-4
8.2 0.0772 0.172 0.115 0.000373 2.319926768541336 4.918583184480667 3.2439031835334995 0.3200148594829337 0.84 0.94 0.8834166666666666 5.02460992907802E-4
9.2 0.0532 0.122 0.0837 0.000241 2.1093182638287544 5.141579285264015 3.3423453552337983 0.3892040833869389 0.82 0.94 0.88075 5.424042553191494E-4
10.2 0.0360 0.0935 0.0617 0.000174 2.042177975177765 5.040629029273987 3.4357839754472175 0.4596887036434537 0.836 0.932 0.8805833333333334 3.9692907801418514E-4
11.2 0.0636 0.161 0.122 0.000489 2.0354039557278156 4.929930478334427 3.061294734245166 0.41333543960418734 0.844 0.94 0.88975 4.193404255319153E-4
12.2 0.0524 0.114 0.0804 0.000252 2.096337340772152 4.778987944126129 3.203811389471715 0.4163914202145298 0.848 0.94 0.8878333333333334 3.9622695035461034E-4
13.2 0.0338 0.0795 0.0562 0.000149 2.2221227809786797 5.285487160086632 3.282291440060362 0.4382396154421568 0.836 0.936 0.8864166666666666 3.647588652482275E-4
