#####################################################################
# Alchemist log file - simulation started at: 2025-01-28T14:57+0000 #
#####################################################################
#
# seed = 1.0
#
# The columns have the following meaning: 
# time TrainingLoss[min] TrainingLoss[max] TrainingLoss[mean] TrainingLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.2 0.433 1.25 0.915 0.0313 2.5969581604003906 9.00676143169403 4.8412890403221045 3.193600348889855 0.6287878787878788 0.9233870967741935 0.8156303903868707 0.005175909844264894
2.2 0.265 0.750 0.483 0.0187 1.9998273998498917 7.637464225292206 3.9344187339302152 2.3294743853563866 0.6931818181818182 0.918918918918919 0.8473215500110692 0.0027879841426737793
3.2 0.236 0.611 0.384 0.0137 1.8268245086073875 7.24640429019928 3.566594122753789 2.0659140766721813 0.7083333333333334 0.9354838709677419 0.8592392828757952 0.002858684312163777
4.2 0.191 0.540 0.324 0.0105 1.7528146505355835 6.606925129890442 3.4291110400420926 1.6960603975546134 0.7462121212121212 0.9395161290322581 0.8638988696606469 0.0022857537351291994
5.2 0.162 0.471 0.283 0.00930 1.431233324110508 6.139181554317474 3.2598121718037874 1.6393994269852281 0.7414448669201521 0.937007874015748 0.8684504049157566 0.0024804605818938264
6.2 0.159 0.564 0.317 0.0121 1.713894385844469 6.203699707984924 3.31099701152804 1.59421860457484 0.7578947368421053 0.9414414414414415 0.8680943804663692 0.002157973120675619
7.2 0.152 0.480 0.271 0.00926 1.459793508052826 5.831932783126831 3.184224897219489 1.5743339249266615 0.7649122807017544 0.9488188976377953 0.8726824339751394 0.00231296444946678
8.2 0.127 0.404 0.237 0.00745 1.2890813797712326 6.141857147216797 3.132086710926766 1.6391690469068227 0.752851711026616 0.952755905511811 0.8770874524488372 0.0022102931716396278
9.2 0.115 0.393 0.213 0.00690 1.407618209719658 6.219675809144974 3.1313462742061042 1.5618805214787337 0.752851711026616 0.9409448818897638 0.8772183184067807 0.002065154197906161
10.2 0.0953 0.358 0.189 0.00615 1.3346840217709541 6.316216439008713 3.1803322489528605 1.5644906137640204 0.7575757575757576 0.9409448818897638 0.8765936118150655 0.0020949353301919415
11.2 0.0712 0.438 0.239 0.00805 1.3346840217709541 6.038363665342331 3.031992751251285 1.5388476876367654 0.7684210526315789 0.9446640316205533 0.8823298062778269 0.0020065782178368624
12.2 0.0757 0.380 0.207 0.00683 1.2853620275855064 6.134378403425217 3.069871464472574 1.4727915796793765 0.7684210526315789 0.9566929133858267 0.8794704121663747 0.0020711395779426803
