#####################################################################
# Alchemist log file - simulation started at: 2025-01-27T14:31+0000 #
#####################################################################
#
# seed = 3.0
#
# The columns have the following meaning: 
# time TrainingLoss[min] TrainingLoss[max] TrainingLoss[mean] TrainingLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.2 0.762 1.28 1.21 0.00514 4.782707780599594 7.716897666454315 6.596851150815685 0.25071616026591936 0.608 0.788 0.70475 0.001347851063829787
2.2 0.566 0.762 0.690 0.00138 4.762505084276199 6.798367023468018 5.541529359916846 0.25793268970784233 0.684 0.812 0.7531666666666667 8.612482269503558E-4
3.2 0.454 0.636 0.563 0.00106 4.143945515155792 6.7786440551280975 5.155002422009905 0.251222681256963 0.696 0.824 0.7750833333333333 5.482482269503555E-4
4.2 0.435 0.538 0.482 0.000557 3.96046781539917 6.415781527757645 5.044704465816419 0.420452068597932 0.696 0.84 0.7804166666666666 0.0010180354609929084
5.2 0.382 0.491 0.426 0.000668 3.951347202062607 6.4484429359436035 4.893662495228152 0.3566227633794888 0.716 0.844 0.7858333333333334 7.543546099290778E-4
6.2 0.405 0.533 0.477 0.000855 3.4706896245479584 6.221072286367416 4.771477030279736 0.30047623100865944 0.736 0.84 0.7921666666666667 6.352056737588656E-4
7.2 0.357 0.467 0.416 0.000586 3.6768330931663513 6.182102739810944 4.684105200382571 0.3591482874744457 0.704 0.832 0.7939166666666667 8.449290780141844E-4
8.2 0.325 0.426 0.369 0.000527 3.474779099225998 6.537214636802673 4.714587721663217 0.4330423597310164 0.676 0.84 0.7955833333333333 8.396524822695024E-4
9.2 0.276 0.392 0.333 0.000502 3.37621009349823 6.357189506292343 4.696321931046744 0.4588586574326631 0.756 0.84 0.7998333333333334 4.1869503546099223E-4
10.2 0.259 0.391 0.304 0.000646 3.5605044066905975 6.7195152044296265 4.700582789567609 0.4799149897042101 0.756 0.856 0.8056666666666666 5.50695035460992E-4
11.2 0.324 0.420 0.370 0.000665 3.3153378665447235 6.4302986562252045 4.442718434457977 0.3846629517681332 0.752 0.864 0.8084166666666667 5.489290780141833E-4
12.2 0.280 0.382 0.329 0.000502 3.112327992916107 6.166438400745392 4.449367431923747 0.46577777362691375 0.752 0.852 0.8081666666666667 5.834609929078007E-4
13.2 0.246 0.352 0.294 0.000529 3.3759457767009735 6.476169258356094 4.522689932025969 0.43734814806293865 0.756 0.856 0.81025 6.603617021276585E-4
14.2 0.224 0.313 0.265 0.000506 3.3916917592287064 6.467967182397842 4.58327611334001 0.46528428900177177 0.748 0.856 0.8089166666666667 3.9233333333333253E-4
15.2 0.192 0.293 0.246 0.000461 3.3717533200979233 5.844919592142105 4.6720952251926064 0.4010315275202316 0.748 0.848 0.80875 5.703191489361692E-4
16.2 0.259 0.381 0.320 0.000625 3.1295140087604523 5.844919592142105 4.357941454431663 0.3382034453584245 0.736 0.86 0.8168333333333333 7.427801418439708E-4
17.2 0.224 0.351 0.282 0.000602 3.1614630073308945 6.043960422277451 4.417329326892893 0.42680677531075817 0.764 0.864 0.8190833333333333 6.36758865248226E-4
18.2 0.196 0.323 0.255 0.000523 3.1205068677663803 6.0040096044540405 4.4939267272129655 0.5230847616010703 0.748 0.876 0.8158333333333333 6.433758865248215E-4
19.2 0.179 0.280 0.230 0.000426 3.337449237704277 7.226393282413483 4.600829802298297 0.705494879807583 0.764 0.872 0.81275 6.853829787234032E-4
20.2 0.163 0.291 0.212 0.000582 3.316023200750351 6.372360974550247 4.6529213994120555 0.5094153030215892 0.768 0.872 0.8131666666666667 4.8678014184397035E-4
21.2 0.224 0.351 0.291 0.000651 3.1766327470541 5.332995802164078 4.229972214748462 0.3945116850704983 0.768 0.88 0.8255 7.09191489361701E-4
22.2 0.198 0.307 0.254 0.000522 3.0563340187072754 5.982410281896591 4.324000948263953 0.41779992344309386 0.788 0.872 0.8251666666666667 4.59546099290779E-4
23.2 0.176 0.289 0.228 0.000589 3.1080989688634872 6.3707166612148285 4.403473906684667 0.5134750249269927 0.732 0.856 0.8211666666666667 6.896737588652474E-4
24.2 0.139 0.254 0.204 0.000405 2.9946579039096832 6.350713282823563 4.541440521056454 0.5269617163433887 0.752 0.864 0.82025 6.137234042553181E-4
25.2 0.148 0.272 0.191 0.000532 3.2773327231407166 6.397723823785782 4.5958860935643315 0.47671720671463047 0.752 0.86 0.81975 5.156808510638286E-4
26.2 0.210 0.330 0.271 0.000657 2.7977468371391296 5.326252236962318 4.231817826007803 0.3973206677820319 0.764 0.864 0.8250833333333333 6.507163120567364E-4
27.2 0.176 0.314 0.236 0.000630 3.0067558884620667 5.649648487567902 4.313202964918067 0.4140052815029591 0.78 0.872 0.8275 4.8723404255319037E-4
28.2 0.171 0.255 0.209 0.000378 3.0521400570869446 6.1104521453380585 4.418466168300559 0.49814054035797867 0.784 0.868 0.8244166666666667 4.937801418439706E-4
29.2 0.144 0.235 0.189 0.000426 3.0957710295915604 6.103266626596451 4.497806592844427 0.5082609805957717 0.78 0.864 0.8274166666666667 3.935248226950347E-4
30.2 0.124 0.279 0.174 0.000620 2.9460136890411377 6.614997714757919 4.697965801693499 0.7153189554797901 0.764 0.884 0.8226666666666667 8.390354609929063E-4
#####################################################################
# End of data export. Simulation finished at: 2025-01-27T14:39+0000 #
#####################################################################
