#####################################################################
# Alchemist log file - simulation started at: 2025-01-27T14:24+0000 #
#####################################################################
#
# seed = 2.0
#
# The columns have the following meaning: 
# time TrainingLoss[min] TrainingLoss[max] TrainingLoss[mean] TrainingLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.2 0.665 1.28 1.21 0.00713 5.744947791099548 7.565396666526794 6.628324090813597 0.14980889017688967 0.616 0.76 0.6994166666666667 7.720780141843966E-4
2.2 0.538 0.757 0.700 0.00116 4.76941642165184 6.508841186761856 5.633304340143998 0.2067409616221796 0.684 0.804 0.7556666666666667 7.113758865248239E-4
3.2 0.491 0.622 0.571 0.000780 4.088745415210724 6.200446754693985 5.126482351993521 0.20851513330775265 0.712 0.82 0.7731666666666667 9.204822695035467E-4
4.2 0.424 0.544 0.492 0.000715 3.949095919728279 5.978824555873871 4.913407944453259 0.18714000305053566 0.724 0.856 0.7875 6.383829787234042E-4
5.2 0.386 0.507 0.436 0.000730 3.920340448617935 5.906683579087257 4.7705652347455425 0.21025027136821814 0.736 0.856 0.7946666666666666 6.558865248226947E-4
6.2 0.422 0.546 0.483 0.000879 3.7493697106838226 5.506614476442337 4.6580440159887075 0.17886917323925153 0.74 0.852 0.8005833333333333 5.957375886524816E-4
7.2 0.373 0.480 0.424 0.000614 3.7074529379606247 5.814193427562714 4.63963745875905 0.27567462041654567 0.748 0.864 0.79975 7.240212765957437E-4
8.2 0.322 0.433 0.380 0.000582 3.6902308464050293 5.342917591333389 4.599492211826146 0.17598851945140428 0.756 0.848 0.8038333333333333 5.58950354609928E-4
9.2 0.259 0.400 0.342 0.000789 3.4331732988357544 5.605789095163345 4.581469180683295 0.28479888190646585 0.748 0.868 0.80525 7.858085106382969E-4
10.2 0.258 0.348 0.309 0.000509 3.492271915078163 6.47070574760437 4.581594717378418 0.38718979695399425 0.744 0.872 0.80825 8.064042553191478E-4
11.2 0.312 0.426 0.373 0.000765 3.478564530611038 5.28402304649353 4.324166388871769 0.19760939547748105 0.756 0.856 0.8168333333333333 6.31801418439715E-4
12.2 0.279 0.382 0.333 0.000659 3.5644101202487946 5.3221615850925446 4.40329756308347 0.2601258551275298 0.748 0.868 0.8119999999999999 6.14127659574467E-4
13.2 0.257 0.354 0.300 0.000590 3.5058897137641907 5.999197006225586 4.46813218233486 0.30294330360568067 0.744 0.852 0.8109999999999999 7.506382978723392E-4
14.2 0.224 0.329 0.270 0.000586 3.6227358877658844 5.900823771953583 4.488827019619445 0.30867811001544115 0.748 0.868 0.8131666666666667 5.74609929078013E-4
15.2 0.195 0.304 0.247 0.000503 3.4667968451976776 6.44495764374733 4.486532852984965 0.38603376418853486 0.764 0.856 0.8159166666666666 6.580354609929063E-4
16.2 0.269 0.383 0.322 0.000647 3.201939359307289 5.442188203334808 4.190012820220242 0.2724651722370404 0.756 0.868 0.8215833333333333 5.819503546099281E-4
17.2 0.233 0.344 0.287 0.000627 3.2084664553403854 5.507063060998917 4.297785353225966 0.3119119530958734 0.752 0.86 0.8189166666666666 7.439929078014173E-4
18.2 0.207 0.306 0.254 0.000428 3.4000948071479797 6.345283210277557 4.441742883374293 0.391319352119173 0.756 0.848 0.8165833333333333 4.656950354609918E-4
19.2 0.190 0.289 0.230 0.000465 3.2880586087703705 5.593875482678413 4.505559636900823 0.3253598808128556 0.776 0.868 0.8181666666666667 5.364822695035449E-4
20.2 0.155 0.293 0.214 0.000662 3.6486436128616333 5.686970472335815 4.593580809111397 0.340457034523239 0.756 0.86 0.8175833333333333 6.813546099290768E-4
21.2 0.247 0.350 0.295 0.000550 2.994867891073227 5.425858825445175 4.17584197067966 0.27935455129238956 0.78 0.864 0.8256666666666667 5.820141843971621E-4
22.2 0.198 0.294 0.252 0.000392 3.379778653383255 5.482824832201004 4.28962556567664 0.28437722231753926 0.776 0.86 0.8261666666666667 5.88226950354609E-4
23.2 0.188 0.283 0.229 0.000347 3.3355591893196106 5.6140522956848145 4.3488987404853106 0.36773112712466566 0.772 0.884 0.8266666666666667 5.932482269503537E-4
24.2 0.169 0.252 0.206 0.000378 3.35297629237175 5.738051265478134 4.449847649162014 0.34232524072801046 0.772 0.868 0.82425 6.668297872340414E-4
25.2 0.146 0.300 0.191 0.000605 3.528736561536789 6.0443324744701385 4.582835970291247 0.44096676710937094 0.764 0.864 0.8228333333333333 5.555460992907791E-4
26.2 0.220 0.325 0.271 0.000556 3.1538535356521606 5.265894740819931 4.111723581173767 0.29862932198667 0.78 0.888 0.8325833333333333 4.799929078014175E-4
27.2 0.179 0.280 0.232 0.000520 3.2473935931921005 5.38758285343647 4.227593582278739 0.31337387370518266 0.776 0.876 0.8281666666666666 4.724822695035456E-4
28.2 0.159 0.255 0.210 0.000371 3.4166960641741753 6.970525085926056 4.356633700740834 0.4451606076089207 0.772 0.88 0.8273333333333334 7.328226950354597E-4
29.2 0.143 0.233 0.187 0.000325 3.3864035457372665 5.831327706575394 4.432948104571551 0.3800643117982268 0.772 0.876 0.82825 6.0759574468085E-4
30.2 0.135 0.256 0.173 0.000445 3.466214634478092 6.0671345591545105 4.5447482314581675 0.43902213558266756 0.768 0.876 0.8256666666666667 6.902695035460981E-4
#####################################################################
# End of data export. Simulation finished at: 2025-01-27T14:31+0000 #
#####################################################################
