#####################################################################
# Alchemist log file - simulation started at: 2025-01-27T13:46+0000 #
#####################################################################
#
# seed = 3.0
#
# The columns have the following meaning: 
# time TrainingLoss[min] TrainingLoss[max] TrainingLoss[mean] TrainingLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.2 0.485 1.32 1.26 0.0137 4.0912396013736725 6.437612891197205 5.512592974429329 0.1993826386699585 0.764 0.888 0.8263333333333334 7.590354609929067E-4
2.2 0.282 0.545 0.470 0.00127 3.006663531064987 5.134636729955673 3.879737989977002 0.20241613099437375 0.808 0.92 0.8654166666666666 6.226312056737598E-4
3.2 0.216 0.350 0.304 0.000604 2.3924405723810196 4.677985459566116 3.4826614040260515 0.23085462796143225 0.82 0.92 0.8733333333333333 5.394609929078024E-4
4.2 0.178 0.255 0.219 0.000372 2.2212630063295364 4.471568256616592 3.3374942814310393 0.21065036210308474 0.832 0.916 0.8751666666666666 5.058439716312067E-4
5.2 0.119 0.216 0.164 0.000362 2.1895550787448883 4.622987449169159 3.3357110409997404 0.2747404654850518 0.84 0.928 0.8786666666666667 5.864397163120579E-4
6.2 0.144 0.276 0.213 0.000903 1.8972814828157425 4.213731825351715 3.1568694446856775 0.24992985298708242 0.828 0.936 0.88625 6.49468085106384E-4
7.2 0.107 0.195 0.153 0.000464 1.979826532304287 4.190417587757111 3.1691775312647223 0.2699986806961598 0.832 0.936 0.8864166666666666 4.893546099290789E-4
8.2 0.0723 0.141 0.111 0.000291 1.9558380991220474 4.418682545423508 3.2358429171144962 0.30823610901836657 0.828 0.94 0.8845 5.48510638297873E-4
9.2 0.0540 0.116 0.0799 0.000176 1.8531845957040787 4.549080729484558 3.3096509603007385 0.4050426519255943 0.832 0.94 0.88425 5.592553191489368E-4
10.2 0.0388 0.121 0.0589 0.000187 1.9872656092047691 4.827620834112167 3.413670807844028 0.42498081741229 0.844 0.936 0.8850833333333333 5.213546099290787E-4
11.2 0.0646 0.150 0.118 0.000388 1.627613291144371 4.057178944349289 3.028018132162591 0.34949271926093506 0.852 0.94 0.8948333333333334 5.48737588652483E-4
12.2 0.0495 0.104 0.0771 0.000172 1.8053756058216095 4.44832356274128 3.1707625573811433 0.4183658774752522 0.844 0.936 0.8920833333333333 5.61354609929079E-4
13.2 0.0324 0.0725 0.0542 0.000111 1.8425535410642624 4.769295558333397 3.3080278080888093 0.44825146284366296 0.852 0.944 0.8915833333333334 4.917375886524828E-4
