#####################################################################
# Alchemist log file - simulation started at: 2025-01-28T10:49+0000 #
#####################################################################
#
# seed = 2.0
#
# The columns have the following meaning: 
# time TrainingLoss[min] TrainingLoss[max] TrainingLoss[mean] TrainingLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.2 0.728 1.13 0.933 0.0138 3.494733367115259 8.56983882188797 5.49921282629172 1.261025824120621 0.6462882096069869 0.8779661016949153 0.7851379899461635 0.003099458769558696
2.2 0.346 0.755 0.533 0.0173 2.906576279550791 7.689012140035629 4.555305380374193 1.2776942429891667 0.7324561403508771 0.9016949152542373 0.8183113951106509 0.0028474966972152306
3.2 0.250 0.663 0.432 0.0164 2.3600789355114102 6.709282249212265 4.194419526475637 1.2099962602458234 0.7456140350877193 0.9220338983050848 0.8411343186599768 0.002542245441526209
4.2 0.177 0.572 0.368 0.0148 2.388826155103743 6.480190455913544 3.9632504413020797 1.185885546321756 0.7336244541484717 0.911864406779661 0.8487726860307652 0.0022855906672553635
5.2 0.177 0.524 0.325 0.0129 2.2259377096779644 6.336962252855301 3.845128964099179 1.1160957645198692 0.7248908296943232 0.9254237288135593 0.8534442291545206 0.0023705177231790864
6.2 0.216 0.588 0.369 0.0154 2.2169969752430916 6.452373623847961 3.736698544952863 1.1001189311613992 0.7641921397379913 0.9186440677966101 0.8572498443372689 0.0022481205077462185
7.2 0.171 0.501 0.317 0.0126 2.266514778137207 6.334058791399002 3.661072029955297 1.06787760482039 0.7510917030567685 0.9288135593220339 0.8597917401768594 0.0021478763256352067
8.2 0.141 0.464 0.282 0.0122 2.052147574722767 6.328224956989288 3.6523681077136034 1.1735939356637974 0.7631578947368421 0.9254237288135593 0.8611754904082439 0.002100791736983026
9.2 0.120 0.422 0.250 0.0111 1.924341483041644 6.365573018789291 3.5942233220751705 1.1878979180472184 0.7641921397379913 0.9254237288135593 0.8622383663914631 0.002077968232804279
10.2 0.103 0.393 0.226 0.0101 1.8183004334568977 6.087059378623962 3.6418813476581517 1.158893705803522 0.777292576419214 0.9295154185022027 0.8649543939616665 0.0019037439277583914
11.2 0.152 0.480 0.285 0.0130 1.9388170950114727 6.042028695344925 3.466747037270882 1.1643722560274623 0.74235807860262 0.9322033898305084 0.8688409078643761 0.0021552095198192588
12.2 0.118 0.461 0.249 0.0121 1.715114125981927 6.141341894865036 3.5025555832677737 1.1020321699015292 0.7807017543859649 0.9427312775330396 0.871960875878495 0.0018891863070754922
