#####################################################################
# Alchemist log file - simulation started at: 2025-01-28T08:19+0000 #
#####################################################################
#
# seed = 0.0
#
# The columns have the following meaning: 
# time TrainingLoss[min] TrainingLoss[max] TrainingLoss[mean] TrainingLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
13.2 0.0722 0.220 0.153 0.00268 5.090900912415236 9.784595713019371 6.994858913657178 1.178507717463085 0.8095238095238095 0.9173076923076923 0.8625586294255301 6.299982846220477E-4
14.2 0.0523 0.185 0.119 0.00195 5.1760621927678585 9.924395397305489 7.062072036108778 1.4436108104674474 0.8115384615384615 0.9173076923076923 0.8652131904122995 6.915400065710003E-4
15.2 0.0383 0.349 0.0998 0.00286 5.1045366153120995 11.02381545305252 7.195899781659439 1.5554230042950556 0.8134615384615385 0.9192307692307692 0.8669153317135229 6.828172082708394E-4
16.2 0.0895 0.351 0.233 0.00908 4.426309812813997 9.182986825704575 6.669900277241444 1.0680812170940672 0.7961538461538461 0.9346153846153846 0.8674222113679457 9.473208422243527E-4
17.2 0.0581 0.240 0.155 0.00417 4.6359543688595295 9.096174582839012 6.612917599772724 1.143458974622069 0.8116883116883117 0.925 0.8708818940089188 7.178177298230737E-4
18.2 0.0399 0.193 0.116 0.00287 4.7875350043177605 9.21713975071907 6.759296980201422 1.2969713779071963 0.8076923076923077 0.9288461538461539 0.8703156533441361 7.749829580265617E-4
19.2 0.0283 0.160 0.0904 0.00205 4.793135062791407 9.881906002759933 6.856699569023476 1.3259233068781422 0.8076923076923077 0.9346153846153846 0.873299748532605 7.381000882378309E-4
20.2 0.0217 0.141 0.0740 0.00162 4.427992515265942 10.27214427292347 7.086427724798948 1.6063925221297057 0.8192307692307692 0.9230769230769231 0.8702807710198369 6.426518682158621E-4
21.2 0.0634 0.332 0.203 0.00932 3.9217363353818655 8.454936727881432 6.346415907314318 1.166400698575929 0.8115384615384615 0.9365384615384615 0.8720091201395197 0.001063006932276653
22.2 0.0399 0.223 0.132 0.00431 4.174183752387762 8.665195226669312 6.417395792144816 1.084783206610779 0.8115384615384615 0.9403846153846154 0.8754297459649781 8.425137804034668E-4
23.2 0.0279 0.182 0.0984 0.00287 4.5296017955988646 9.515978187322617 6.566343839692611 1.2574729913605114 0.8134615384615385 0.9346153846153846 0.8758592990133217 7.009184924194457E-4
24.2 0.0184 0.153 0.0780 0.00213 4.587727889418602 9.350561410188675 6.680677894085723 1.3381059863649682 0.8192307692307692 0.9307692307692308 0.8767656629427688 7.226763291709561E-4
25.2 0.0158 0.133 0.0643 0.00166 4.346398659050465 10.062701761722565 6.922460150177358 1.7012412313967944 0.8173076923076923 0.9346153846153846 0.8759399568963554 7.192068596665969E-4
26.2 0.0513 0.319 0.187 0.00951 3.8300400003790855 8.376235991716385 6.206024830057382 1.0848485363917302 0.8096153846153846 0.9365384615384615 0.8788388728352281 9.689275676094844E-4
27.2 0.0271 0.215 0.120 0.00462 3.9894229071214795 9.058058083057404 6.282516354656157 1.1054158709620454 0.8134615384615385 0.9365384615384615 0.8783095050947373 8.856213300727255E-4
28.2 0.0210 0.172 0.0889 0.00285 4.120322421193123 9.058058083057404 6.40582631380433 1.2445551209901085 0.8134615384615385 0.9307692307692308 0.8791238856236157 8.453023612671578E-4
29.2 0.0149 0.150 0.0698 0.00211 4.2845995160751045 9.82317590713501 6.631316668945146 1.370423080944023 0.8153846153846154 0.9307692307692308 0.8794403854035333 7.786198076669694E-4
30.2 0.0115 0.199 0.0605 0.00214 4.2845995160751045 9.946243196725845 6.818612206346491 1.3649567725764913 0.8173076923076923 0.9326923076923077 0.8787934868557169 7.377501464901923E-4
#####################################################################
# End of data export. Simulation finished at: 2025-01-28T08:35+0000 #
#####################################################################
