#####################################################################
# Alchemist log file - simulation started at: 2025-01-22T09:57+0000 #
#####################################################################
#
# seed = 3.0
#
# The columns have the following meaning: 
# time TrainingLoss[min] TrainingLoss[max] TrainingLoss[mean] TrainingLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.2 0.242 0.965 0.786 0.0156 1.4832040071487427 5.8515744507312775 3.0492479111417197 1.2633057572065702 0.8548009367681498 0.9601990049751243 0.9173124804738624 5.645234054100105E-4
2.2 0.129 0.325 0.222 0.00251 0.6786426119506359 4.501477554440498 2.10348304255361 1.0748628026988603 0.8932038834951457 0.9751243781094527 0.9346209024459475 4.1395114466299834E-4
3.2 0.0646 0.212 0.134 0.00176 0.4135975129902363 4.418991044163704 1.8820889737059285 1.0565926214481927 0.9039812646370023 0.9801980198019802 0.9402195899140023 4.18853295337948E-4
4.2 0.0225 0.166 0.0900 0.00129 0.2858238257467747 4.225441142916679 1.8285337041694827 1.0772384943773514 0.9077669902912622 0.9851485148514851 0.9429459161164202 4.4162172090756656E-4
5.2 0.0176 0.119 0.0609 0.000770 0.2646421082317829 4.8839201256632805 1.8152770447034832 1.1598362018682495 0.9077669902912622 0.9900497512437811 0.9449834376836438 4.106065607039272E-4
6.2 0.0341 0.159 0.0866 0.00111 0.3364600036293268 4.120264783501625 1.593752861471528 0.8319850314371918 0.912621359223301 0.9851485148514851 0.9482017705637742 3.541707140774717E-4
7.2 0.0167 0.108 0.0550 0.000688 0.3342582331970334 4.180404096841812 1.6181424698202729 0.8806442042133862 0.8932038834951457 0.9900497512437811 0.9478880771588407 3.649257496321988E-4
8.2 0.00610 0.0764 0.0366 0.000365 0.22848914004862309 4.225231610238552 1.6608374842752434 0.9665071399794724 0.912621359223301 0.9900497512437811 0.9483644964754666 3.393448057512361E-4
9.2 0.00567 0.0585 0.0240 0.000197 0.16797733586281538 4.293039243668318 1.7181970812135443 0.9490294252618914 0.8980582524271845 0.9950248756218906 0.9491587869658831 4.0016512457008376E-4
10.2 0.00378 0.0395 0.0170 9.41e-05 0.19512663502246141 4.605466660112143 1.761397377821506 1.0376008619108952 0.9077669902912622 0.9900497512437811 0.9484771106049918 3.6170379045660913E-4
11.2 0.0217 0.113 0.0517 0.000553 0.3025447065010667 4.110167808830738 1.503253363900433 0.8506424913937064 0.912621359223301 0.9851485148514851 0.9534548144243246 3.5644622274845744E-4
