#####################################################################
# Alchemist log file - simulation started at: 2025-01-28T10:42+0000 #
#####################################################################
#
# seed = 1.0
#
# The columns have the following meaning: 
# time TrainingLoss[min] TrainingLoss[max] TrainingLoss[mean] TrainingLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.2 0.513 1.00 0.899 0.00550 3.0257252007722855 6.850885182619095 5.043800922110677 0.7529051457163399 0.7357142857142858 0.8672985781990521 0.8065567875673914 8.075955502682657E-4
2.2 0.409 0.580 0.496 0.00161 2.6893200725317 5.6128911674022675 4.1798679903149605 0.5423904602519485 0.7741935483870968 0.8821428571428571 0.8427563238682254 4.916752155635194E-4
3.2 0.325 0.471 0.393 0.00129 2.3916225880384445 5.402899891138077 3.8421432141525047 0.672857612137155 0.7921146953405018 0.910377358490566 0.8575197091830382 5.990570489619738E-4
4.2 0.261 0.395 0.332 0.00126 2.263828292489052 5.252767354249954 3.6827022125750473 0.6835768611916676 0.806949806949807 0.910377358490566 0.8606892118492613 5.999118681922323E-4
5.2 0.216 0.355 0.289 0.00117 2.0351735949516296 5.349128067493439 3.5693924347093953 0.7097975853198163 0.7849462365591398 0.9056603773584906 0.8633223270647667 6.15687847017243E-4
6.2 0.282 0.405 0.341 0.00108 2.1340167224407196 5.344279795885086 3.5364651655157404 0.6268303302560027 0.8100358422939068 0.910377358490566 0.8659702026227406 4.7301395985872776E-4
7.2 0.212 0.347 0.287 0.00113 1.9978546872735023 5.1287438571453094 3.42804426412719 0.6085010371146691 0.8223938223938224 0.9339622641509434 0.8682194780453352 5.051651905395053E-4
8.2 0.186 0.312 0.253 0.00103 1.960125744342804 5.7593052983284 3.42144612413055 0.7080109352007987 0.8153846153846154 0.910377358490566 0.8696702115963161 4.8312598084267053E-4
9.2 0.165 0.276 0.225 0.000929 1.9737888351082802 4.983585506677628 3.385541313172628 0.7139023792781647 0.833976833976834 0.9245283018867925 0.8729264707815415 4.905630461228165E-4
10.2 0.141 0.249 0.203 0.000801 1.9737888351082802 5.813955754041672 3.4832827002780204 0.859492018472564 0.8207885304659498 0.9198113207547169 0.8725100764388147 5.07980611366822E-4
11.2 0.210 0.317 0.263 0.000605 2.0446014776825905 5.651616320014 3.2874115199083462 0.5862872449233385 0.8172043010752689 0.9198113207547169 0.8749534963435247 5.797641649499783E-4
12.2 0.168 0.285 0.225 0.000652 1.956294260919094 4.943770691752434 3.307795602537226 0.5367063500774848 0.8115384615384615 0.9198113207547169 0.874629452319884 6.166067153967252E-4
