#####################################################################
# Alchemist log file - simulation started at: 2025-01-28T11:41+0000 #
#####################################################################
#
# seed = 0.0
#
# The columns have the following meaning: 
# time TrainingLoss[min] TrainingLoss[max] TrainingLoss[mean] TrainingLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.2 1.05 1.86 1.75 0.0116 15.206222951412201 23.133241832256317 20.679432130729158 1.7948565371804304 0.6019607843137255 0.7241379310344828 0.6461271130425611 4.5450517563262613E-4
2.2 0.790 1.07 0.992 0.00177 15.131077408790588 20.66075509786606 17.4981122110039 1.4598304483635305 0.6490196078431373 0.7485822306238186 0.6990168485143956 5.007482126824645E-4
3.2 0.658 0.855 0.780 0.00116 13.672865152359009 19.96562910079956 16.27503510626654 1.7969783172511116 0.6803921568627451 0.7701375245579568 0.7200654475158113 3.995558731345409E-4
4.2 0.505 0.709 0.640 0.00117 13.011671274900436 18.76281863451004 15.583193512943884 1.8113633075346243 0.6915708812260536 0.7803921568627451 0.7346948076907376 4.049645412271823E-4
5.2 0.484 0.768 0.535 0.00200 12.510829895734787 18.63039366900921 15.221919741791984 2.0723852045183944 0.6896551724137931 0.7956777996070727 0.7410907729717737 4.623715709266245E-4
6.2 0.472 0.829 0.669 0.00343 12.536819905042648 17.784473538398743 14.853807147592306 1.4467871525375244 0.7033398821218074 0.7969348659003831 0.7465439186002291 4.794024153309827E-4
7.2 0.426 0.617 0.519 0.00131 12.099840372800827 17.853090047836304 14.305759026979407 1.765983112007833 0.7049808429118773 0.7988505747126436 0.7559200859712117 4.6684880739298923E-4
8.2 0.334 0.484 0.413 0.000899 11.788551777601242 18.380887389183044 14.231930393725634 2.0839658338877185 0.7145593869731801 0.8103448275862069 0.7611638133539146 4.136874890762538E-4
9.2 0.242 0.396 0.329 0.000934 11.71359732747078 17.930590346455574 14.208268812857568 2.251178160589113 0.7183908045977011 0.8065134099616859 0.7653650772687878 3.9191979768082315E-4
10.2 0.201 0.375 0.264 0.00101 11.23445338010788 18.285306721925735 14.184539141133428 2.5945365415677877 0.7329545454545454 0.807843137254902 0.7713769618944026 3.2134449678814013E-4
11.2 0.319 0.552 0.439 0.00288 10.734044641256332 16.198381632566452 13.117112429502109 1.6497799984538233 0.7298850574712644 0.8199233716475096 0.7767183073212968 4.6696617301553677E-4
12.2 0.235 0.407 0.322 0.00159 10.395069777965546 16.42056731879711 13.217638266583284 1.9187516297151643 0.7274509803921568 0.8176470588235294 0.7795648066702229 5.102349709454454E-4
