#####################################################################
# Alchemist log file - simulation started at: 2025-01-28T14:00+0000 #
#####################################################################
#
# seed = 4.0
#
# The columns have the following meaning: 
# time TrainingLoss[min] TrainingLoss[max] TrainingLoss[mean] TrainingLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.2 0.349 1.45 0.981 0.0578 2.1006168127059937 6.32941198348999 4.052529977556938 1.2549243567782018 0.673469387755102 0.9427480916030534 0.8576518312441285 0.004285769269739437
2.2 0.161 0.689 0.345 0.0221 1.262810830026865 4.458264142274857 2.7511175684339833 0.7420103946085205 0.7619047619047619 0.9655172413793104 0.9006712727543518 0.0018604734143147794
3.2 0.0889 0.440 0.212 0.00957 1.2173922024667263 4.458264142274857 2.404549253695829 0.6735326062164129 0.7891156462585034 0.9694656488549618 0.9105339965587942 0.0016252582815759566
4.2 0.0507 0.319 0.146 0.00538 1.0161829236894846 4.2214797884225845 2.2880509701632645 0.6656651929520915 0.8231292517006803 0.9691119691119691 0.9143036497634766 0.0012635303617816388
5.2 0.0327 0.236 0.105 0.00325 1.0173851130530238 4.502648651599884 2.274214972174377 0.7334491368969517 0.8231292517006803 0.9652509652509652 0.9170449707071464 0.001193937532065202
6.2 0.0483 0.275 0.133 0.00346 1.014853075146675 4.1861515790224075 2.121798493467698 0.6208658104558658 0.8299319727891157 0.9732824427480916 0.9214924935155375 0.0012714104119430102
7.2 0.0328 0.195 0.0875 0.00189 0.9755880255252123 4.261166587471962 2.133300460882917 0.6887225850542491 0.7959183673469388 0.9691119691119691 0.9205353011246977 0.001275352362148339
8.2 0.0165 0.143 0.0603 0.00119 0.9780422386247665 4.493512690067291 2.1975127069833134 0.7885406628772249 0.8095238095238095 0.972972972972973 0.9229601803915755 0.0012041477148684295
9.2 0.0124 0.119 0.0407 0.000669 1.0226862374693155 4.7687821835279465 2.272024229080614 0.9276470289846187 0.8095238095238095 0.9694656488549618 0.9227002878096365 0.0012978205154480379
10.2 0.00729 0.110 0.0289 0.000469 1.0461694770492613 4.834938481450081 2.3659175376892945 0.9229296970190279 0.8095238095238095 0.9694656488549618 0.9213309715107962 0.001269399569756375
11.2 0.00697 0.163 0.0709 0.00147 0.9242455363273621 4.776560083031654 2.11249991720221 0.9209016698447478 0.8163265306122449 0.9707792207792207 0.9267281532074155 0.0011829581401861372
12.2 0.00536 0.107 0.0402 0.000555 0.9336433447897434 4.865503877401352 2.191837661762558 0.9985348362284902 0.8367346938775511 0.9694656488549618 0.9248657168404655 0.0014045091079679854
