#####################################################################
# Alchemist log file - simulation started at: 2025-01-28T15:13+0000 #
#####################################################################
#
# seed = 3.0
#
# The columns have the following meaning: 
# time TrainingLoss[min] TrainingLoss[max] TrainingLoss[mean] TrainingLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.2 0.526 1.35 0.970 0.0506 2.1498234272003174 7.599475413560867 4.962444607634097 1.6980912794492489 0.6985645933014354 0.9056047197640118 0.7985608302684531 0.0023495375784909744
2.2 0.316 0.704 0.531 0.0114 1.495259165763855 6.399063259363174 3.998182872775942 1.3779446522882948 0.7142857142857143 0.9183673469387755 0.8346103641038017 0.0019067480393415532
3.2 0.227 0.611 0.428 0.00844 1.391062118113041 6.4627717435359955 3.7359343990683556 1.4378136220990092 0.7448979591836735 0.9351032448377581 0.8433956510732495 0.0016935324031275227
4.2 0.184 0.503 0.365 0.00672 1.3015328533947468 6.693305030465126 3.5825678235657206 1.456050454945505 0.7244897959183674 0.9351032448377581 0.8477874537746214 0.001795509218491029
5.2 0.153 0.462 0.325 0.00612 1.1019158829003572 6.406156420707703 3.5038817883469164 1.4175941409098611 0.7346938775510204 0.9321533923303835 0.8538177405386026 0.0017882428241480191
6.2 0.126 0.537 0.365 0.00956 1.1636397875845432 5.793522581458092 3.4626750347282114 1.3899259596380256 0.7551020408163265 0.943952802359882 0.8567067640813228 0.0016860278354887267
7.2 0.108 0.443 0.316 0.00681 1.033384669572115 5.403453961014748 3.468304881598063 1.2566673914374034 0.7448979591836735 0.9351032448377581 0.853211440148407 0.0018929006055313387
8.2 0.0993 0.414 0.283 0.00553 1.0494472682476044 5.527603417634964 3.369169021556445 1.1690701737452398 0.7755102040816326 0.9410029498525073 0.8619048393374921 0.001447848084251121
9.2 0.0784 0.372 0.256 0.00504 0.9588452465832233 5.804390832781792 3.3789304244419327 1.369564198466547 0.7244897959183674 0.9380530973451328 0.8584280244512249 0.0015401168965319047
10.2 0.0642 0.382 0.236 0.00543 0.9367632940411568 5.865531086921692 3.4164868615722908 1.380335120657127 0.7551020408163265 0.9321533923303835 0.8588824640514036 0.0017034574444503015
11.2 0.0610 0.421 0.294 0.00691 0.8692871145904064 5.797190219163895 3.2802227729262086 1.2491565729347618 0.7755102040816326 0.943952802359882 0.8638647692119849 0.001404743880639322
12.2 0.0667 0.356 0.255 0.00534 0.9379797740839422 5.752049222588539 3.3109772668879787 1.244308995099006 0.7551020408163265 0.9292035398230089 0.8610748078164066 0.001563819750284362
