#####################################################################
# Alchemist log file - simulation started at: 2025-01-27T15:08+0000 #
#####################################################################
#
# seed = 1.0
#
# The columns have the following meaning: 
# time TrainingLoss[min] TrainingLoss[max] TrainingLoss[mean] TrainingLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.2 1.24 2.28 2.18 0.0201 22.33225119113922 27.05506455898285 24.90436503912012 1.2111189418576238 0.5069860279441117 0.644 0.5594041916167665 8.98111743048917E-4
2.2 0.983 1.32 1.24 0.00225 18.23426115512848 23.684276044368744 21.286929294466972 1.4876017083927653 0.572 0.686 0.613306636726547 6.022536651121257E-4
3.2 0.816 1.06 0.990 0.00138 16.247009575366974 24.051758348941803 20.008589337269466 2.026104890316506 0.568 0.696 0.6367831004657352 7.398135274587505E-4
4.2 0.701 0.891 0.832 0.00101 15.165514647960663 22.8827423453331 19.38950069869558 2.416428293847255 0.5868263473053892 0.712 0.647109364604125 6.689909583234407E-4
5.2 0.647 0.826 0.706 0.000841 15.377777814865112 22.342885732650757 18.88083190222581 2.3694518785086847 0.616 0.71 0.6598440618762476 6.095211999452065E-4
6.2 0.661 0.915 0.832 0.00181 14.551887392997742 22.378717303276062 18.263928002988298 2.2082459611006953 0.6047904191616766 0.7345309381237525 0.6687101630073187 7.486948652418408E-4
7.2 0.568 0.732 0.681 0.00101 13.900105059146881 21.586805522441864 17.989497321968276 2.6553145698797613 0.626746506986028 0.736 0.6777852628077179 6.950214113469802E-4
8.2 0.468 0.608 0.561 0.000763 13.290736198425293 22.319479167461395 17.831093922878306 2.778108398945962 0.6387225548902196 0.75 0.6837804391217565 7.041905887125816E-4
9.2 0.330 0.502 0.462 0.000795 13.076263546943665 22.44301062822342 17.810699651017785 3.0867644626150197 0.6327345309381237 0.758 0.6882309547571523 6.618620541154628E-4
10.2 0.330 0.504 0.383 0.000705 13.308647394180298 22.914707839488983 17.892739051332075 3.3166005353499424 0.6367265469061876 0.756 0.6892295409181637 7.071442261779574E-4
11.2 0.447 0.611 0.556 0.00128 12.344746887683868 20.151550710201263 16.4499010425061 2.394736787824571 0.646 0.772 0.7044644876912841 7.583923220715035E-4
12.2 0.367 0.484 0.438 0.000892 12.475130259990692 21.156525492668152 16.6546034651498 2.7798488001539354 0.6407185628742516 0.76 0.7044634896872921 8.003223655815444E-4
13.2 0.276 0.389 0.347 0.000703 12.90358704328537 21.48899930715561 16.89311687151591 2.8765246920379566 0.6586826347305389 0.766 0.7072972388556221 6.100020725243079E-4
